"","np","dist","gamma","dir.hor","dir.ver","id"
"1",57,79.2924374558266,0.123447934906159,0,0,"var1"
"2",299,163.973665558869,0.216218485296508,0,0,"var1"
"3",419,267.364827670341,0.302785875594544,0,0,"var1"
"4",457,372.735422390829,0.41214476038234,0,0,"var1"
"5",547,478.47669504706,0.463412786177528,0,0,"var1"
"6",533,585.340581095414,0.564693270655249,0,0,"var1"
"7",574,693.145255542453,0.568968263208201,0,0,"var1"
"8",564,796.183648851274,0.618676858687584,0,0,"var1"
"9",589,903.146498300281,0.647147887486358,0,0,"var1"
"10",543,1011.29177339088,0.691570488111765,0,0,"var1"
"11",500,1117.86234551819,0.703398350535865,0,0,"var1"
"12",477,1221.32809876599,0.603877036498903,0,0,"var1"
"13",452,1329.16406506977,0.65171577623457,0,0,"var1"
"14",457,1437.25620328332,0.566531778305528,0,0,"var1"
"15",415,1543.20248199968,0.574822734067877,0,0,"var1"
